epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,96.9028,1.59729,0.71266,0.92947,0.98778,0.0802662,0.000199331,0.000199331
2,174.336,0.82369,0.77619,0.95472,0.76935,0.0604623,0.000395378,0.000395378
3,252.606,0.75296,0.77048,0.95618,0.78001,0.0406544,0.000587464,0.000587464
4,329.177,0.75699,0.78075,0.95097,0.80368,0.0208425,0.000775591,0.000775591
5,410.175,0.73388,0.80648,0.96172,0.70056,0.00102665,0.000959758,0.000959758
6,486.003,0.68717,0.8073,0.96628,0.68987,0.0009505,0.0009505,0.0009505
7,563.811,0.59362,0.83466,0.97622,0.55643,0.0009406,0.0009406,0.0009406
8,645.043,0.53771,0.83874,0.97019,0.56512,0.0009307,0.0009307,0.0009307
9,720.336,0.51744,0.86317,0.97915,0.46718,0.0009208,0.0009208,0.0009208
10,799.813,0.47975,0.86236,0.97622,0.48873,0.0009109,0.0009109,0.0009109
11,877.387,0.44768,0.87474,0.97948,0.44464,0.000901,0.000901,0.000901
12,951.371,0.43563,0.8648,0.97785,0.48664,0.0008911,0.0008911,0.0008911
13,1030.64,0.40611,0.88956,0.98029,0.39279,0.0008812,0.0008812,0.0008812
14,1114.66,0.3888,0.88321,0.98062,0.43282,0.0008713,0.0008713,0.0008713
15,1196.43,0.37132,0.89037,0.98224,0.39991,0.0008614,0.0008614,0.0008614
16,1270.12,0.35934,0.89151,0.98257,0.39,0.0008515,0.0008515,0.0008515
17,1344.58,0.34172,0.90096,0.98518,0.36649,0.0008416,0.0008416,0.0008416
18,1418.22,0.3122,0.89705,0.98273,0.38874,0.0008317,0.0008317,0.0008317
19,1491.36,0.32952,0.90406,0.98404,0.35659,0.0008218,0.0008218,0.0008218
20,1568.6,0.30197,0.91008,0.98501,0.33283,0.0008119,0.0008119,0.0008119
21,1645.31,0.29097,0.90862,0.98567,0.34863,0.000802,0.000802,0.000802
22,1739.29,0.27281,0.91269,0.9842,0.34805,0.0007921,0.0007921,0.0007921
23,1826.52,0.26011,0.9122,0.98664,0.33662,0.0007822,0.0007822,0.0007822
24,1907.13,0.25395,0.91578,0.98746,0.33703,0.0007723,0.0007723,0.0007723
25,1986.13,0.2339,0.91497,0.98599,0.33685,0.0007624,0.0007624,0.0007624
26,2065.58,0.22406,0.91725,0.98795,0.32076,0.0007525,0.0007525,0.0007525
27,2142.09,0.22662,0.92002,0.98778,0.31782,0.0007426,0.0007426,0.0007426
28,2216.26,0.21299,0.92328,0.98599,0.3251,0.0007327,0.0007327,0.0007327
29,2294.45,0.19752,0.92051,0.98681,0.32375,0.0007228,0.0007228,0.0007228
30,2372.69,0.20146,0.92263,0.98746,0.32474,0.0007129,0.0007129,0.0007129
31,2452.22,0.18312,0.92132,0.98599,0.32457,0.000703,0.000703,0.000703
32,2525.49,0.18097,0.92768,0.98681,0.32359,0.0006931,0.0006931,0.0006931
33,2604.83,0.17126,0.92588,0.98599,0.32971,0.0006832,0.0006832,0.0006832
34,2680.52,0.17117,0.92393,0.98599,0.33427,0.0006733,0.0006733,0.0006733
35,2759.7,0.16053,0.9267,0.98583,0.33708,0.0006634,0.0006634,0.0006634
36,2837.47,0.14913,0.92637,0.98599,0.32965,0.0006535,0.0006535,0.0006535
37,2918.08,0.14103,0.92702,0.98729,0.33081,0.0006436,0.0006436,0.0006436
